City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
113,Kieta,-6.2167,155.6333,85.23,59,100,5.84,PG
114,Airai,-8.9266,125.4092,72.57,68,32,1.61,TL
115,Ambilobe,-13.2,49.05,72.75,88,100,3.11,MG
116,Castro,-24.7911,-50.0119,63.43,85,18,2.1,BR
117,Sao Joao Da Barra,-21.6403,-41.0511,74.57,90,0,1.86,BR
118,Vila Franca Do Campo,37.7167,-25.4333,50.41,79,99,3.15,PT
119,Bluff,-46.6,168.3333,64.8,57,100,3.15,NZ
120,Vila Velha,-20.3297,-40.2925,76.95,88,40,2.3,BR
121,Jasper,37.2001,-94.3502,45.84,93,100,12.66,US
122,Cabo San Lucas,22.8909,-109.9124,74.61,71,0,6.91,MX
123,Yongan,39.6957,113.6871,40.53,22,32,4.0,CN
124,Kavieng,-2.5744,150.7967,84.69,62,98,8.59,PG
125,Fairbanks,64.8378,-147.7164,30.54,70,100,12.66,US
126,Murgab,37.4966,61.9714,53.47,43,100,11.5,TM
127,Gostilitsy,59.7483,29.622,36.19,99,100,2.89,RU
128,Lebu,-37.6167,-73.65,53.76,90,7,14.0,CL
129,Butaritari,3.0707,172.7902,82.31,77,34,18.19,KI
130,Tabou,4.423,-7.3528,76.6,91,85,7.81,CI
131,Sao Filipe,14.8961,-24.4956,70.93,70,27,7.67,CV
132,Vilhena,-12.7406,-60.1458,66.88,98,86,0.74,BR
133,Iskateley,67.6803,53.1512,-8.73,100,48,0.98,RU
134,Okhotsk,59.3833,143.3,2.89,69,64,10.98,RU
135,Santa Fe,-31.6333,-60.7,73.99,94,73,5.91,AR
136,Nikolskoye,59.7035,30.7861,37.29,99,100,2.21,RU
137,Yar-Sale,66.8333,70.8333,-5.89,100,66,3.44,RU
138,Yellowknife,62.456,-114.3525,14.52,57,0,5.75,CA
139,Sirnak,37.5228,42.4594,41.07,82,100,3.06,TR
140,Trincomalee,8.5711,81.2335,79.47,81,100,8.99,LK
141,Sistranda,63.7256,8.834,35.56,83,100,15.64,NO
142,Alenquer,-1.9417,-54.7383,74.48,94,100,2.3,BR
143,Tura,25.5198,90.2201,71.73,64,0,2.95,IN
144,Beringovskiy,63.05,179.3167,-0.71,78,89,10.96,RU
145,Caxito,-8.5785,13.6643,73.35,94,100,2.28,AO
146,Nuuk,64.1835,-51.7216,12.38,79,100,4.61,GL
147,Touros,-5.1989,-35.4608,78.44,81,10,9.64,BR
148,Wewak,-3.5534,143.6268,84.07,72,98,4.45,PG
149,Yuncheng,35.0231,110.9928,49.69,58,100,6.64,CN
150,Plettenberg Bay,-34.0527,23.3716,66.92,94,73,13.4,ZA
