City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
590,Galle,LK,78.42,overcast clouds,6.0367,80.217,Jungle Hostel Villa
594,Labrea,BR,72.79,moderate rain,-7.2586,-64.7981,No hotel found
603,Cockburn Town,TC,77.45,few clouds,21.4612,-71.1419,The Salt Raker Inn
604,Urucui,BR,72.93,light rain,-7.2294,-44.5561,No hotel found
605,Martapura,ID,80.69,few clouds,-3.4167,114.85,Q-Hotel Grand Dafam
614,Port Moresby,PG,89.02,scattered clouds,-9.4431,147.1797,The Sanctuary Hotel and Spa
619,Castanos,MX,72.34,overcast clouds,26.7833,-101.4167,No hotel found
620,Atambua,ID,82.45,broken clouds,-9.1061,124.8925,Hotel Matahari
623,Goure,NE,73.44,broken clouds,13.9835,10.2704,No hotel found
627,Pitimbu,BR,77.59,overcast clouds,-7.4706,-34.8086,Pousada Brisa Mar
628,Kinshasa,CD,73.78,thunderstorm,-4.3246,15.3215,Ariana
629,Port Augusta,AU,86.79,clear sky,-32.5,137.7667,Hotel Commonwealth
630,Bundaberg,AU,85.21,overcast clouds,-24.85,152.35,Young Australian Hotel
631,Manthani,IN,81.0,clear sky,18.65,79.6667,No hotel found
633,Yamethin,MM,86.25,clear sky,20.4333,96.15,No hotel found
634,Chimore,BO,71.55,overcast clouds,-16.9833,-65.1333,No hotel found
637,Sibolga,ID,84.63,broken clouds,1.7427,98.7792,Hotel Prima Indah
642,Porto Velho,BR,71.65,broken clouds,-8.7619,-63.9039,Hotel Slaviero Essential Porto Velho
644,Sri Aman,MY,82.45,few clouds,1.2376,111.4621,Mega Inn
653,Corn Island,NI,79.47,few clouds,12.1694,-83.0418,Sunrise Hotel
656,Pasuruan,ID,89.1,broken clouds,-7.6453,112.9075,Hotel Pasuruan
659,Nkhotakota,MW,72.05,moderate rain,-12.9274,34.2961,Zayi Guest House
661,Cozumel,MX,76.06,few clouds,20.5083,-86.9458,Hotel Isla Esmeralda
662,Bucerias,MX,70.16,clear sky,20.75,-105.3333,Royal Decameron Complex
668,Palauig,PH,83.52,clear sky,15.435,119.9045,No hotel found
673,Dingle,PH,87.04,clear sky,10.9995,122.6711,No hotel found
681,Kapit,MY,88.2,broken clouds,2.0167,112.9333,Haip
682,Alyangula,AU,85.82,overcast clouds,-13.8483,136.4192,No hotel found
685,Qui Nhon,VN,82.22,scattered clouds,13.7667,109.2333,No hotel found
688,Davila,PH,85.98,scattered clouds,18.4726,120.5763,Blue Ridge Beach Resort
690,Makakilo City,US,80.92,light rain,21.3469,-158.0858,Embassy Suites by Hilton Oahu Kapolei
691,Kununurra,AU,89.58,broken clouds,-15.7667,128.7333,Kununurra Country Club Resort
695,Nawabganj,BD,78.31,few clouds,24.5911,88.271,Hotel Al Nahid International হোটেল আল নাহিদ আন্তর্জাতিক
698,Gambela,ET,73.94,scattered clouds,8.25,34.5833,Grand Hotel
699,Dwarka,IN,77.32,clear sky,22.2394,68.9678,The Dwarika Hotel
701,Sindi,IN,77.88,overcast clouds,20.8,78.8667,No hotel found
702,Chicama,PE,77.54,overcast clouds,-7.8447,-79.1469,No hotel found
704,Nagar Karnul,IN,81.12,overcast clouds,16.4821,78.3247,No hotel found
705,Simao,CN,75.47,clear sky,22.7886,100.9748,Marvelous Land Hotel
